TAIL_NUMBER,YEAR MANUFACTURED,MANUFACTURER,MODEL,NO-ENG,NO-SEATS
N902AW,1985,BOEING                        ,757-2S7             ,2,178
N572UW,2013,AIRBUS INDUSTRIE              ,A321-231            ,2,379
N944UW,2006,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N821AW,2000,AIRBUS INDUSTRIE              ,A319-132            ,2,179
N967UW,2008,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N122US,2000,AIRBUS INDUSTRIE              ,A320-214            ,2,182
N568UA,1992,BOEING                        ,757-222             ,2,178
N638VA,2008,AIRBUS                        ,A320-214            ,2,182
N523VA,2007,AIRBUS                        ,A319-112            ,2,100
N459WN,2004,BOEING                        ,737-7H4             ,2,140
N779SW,2000,BOEING                        ,737-7H4             ,2,140
N8652B,2014,BOEING                        ,737-8H4             ,2,140
N67134,1999,BOEING                        ,757-224             ,2,178
N713TW,1997,BOEING                        ,757-2Q8             ,2,178
N14231,1999,BOEING                        ,737-824             ,2,149
N87527,2010,BOEING                        ,737-824             ,2,149
N359NW,1998,AIRBUS INDUSTRIE              ,A320-212            ,2,182
N596NW,2003,BOEING                        ,757-351             ,2,275
N909AW,1989,BOEING                        ,757-2G7             ,2,178
N952UW,2007,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N946UW,2007,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N463WN,2004,BOEING                        ,737-7H4             ,2,140
N953WN,2010,BOEING                        ,737-7H4             ,2,140
N613SW,1995,BOEING                        ,737-3H4             ,2,149
N523SW,1992,BOEING                        ,737-5H4             ,2,149
N951WN,2010,BOEING                        ,737-7H4             ,2,140
N736SA,1999,BOEING                        ,737-7H4             ,2,140
N687SW,1986,BOEING                        ,737-3Q8             ,2,149
N7749B,2009,BOEING                        ,737-7BD             ,2,149
N287WN,2007,BOEING                        ,737-7H4             ,2,140
N13110,1994,BOEING                        ,757-224             ,2,178
N553NW,2001,BOEING                        ,757-251             ,2,178
N326NB,2001,AIRBUS INDUSTRIE              ,A319-114            ,2,145
N848UA,2002,AIRBUS INDUSTRIE              ,A319-131            ,2,179
N11164,2004,EMBRAER                       ,EMB-145XR           ,2,55
N14214,1998,BOEING                        ,737-824             ,2,149
N26123,1997,BOEING                        ,757-224             ,2,178
N757UW,2000,AIRBUS INDUSTRIE              ,A319-112            ,2,179
N117UW,2000,AIRBUS INDUSTRIE              ,A320-214            ,2,182
N926WN,    ,BOEING                        ,737-7H4             ,2,140
N279WN,2007,BOEING                        ,737-7H4             ,2,140
N793SA,2001,BOEING                        ,737-7H4             ,2,140
N424WN,2002,BOEING                        ,737-7H4             ,2,140
