TAIL_NUMBER,YEAR MANUFACTURED,MANUFACTURER,MODEL,NO-ENG,NO-SEATS
N7701B,2004,BOEING                        ,737-76N             ,2,149
N398DA,2000,BOEING                        ,737-832             ,2,189
N67812,2014,BOEING                        ,737-924ER           ,2,191
N77871,2003,BOEING                        ,757-33N             ,2,275
N396AA,1991,BEECH                         ,B300                ,2,19
N746JB,2008,AIRBUS                        ,A320-232            ,2,200
N11192,2005,EMBRAER                       ,EMB-145XR           ,2,55
N78285,2004,BOEING                        ,737-824             ,2,149
N359NB,2003,AIRBUS                        ,A319-114            ,2,145
N624NK,2013,AIRBUS                        ,A320-232            ,2,200
N292AY,2014,AIRBUS                        ,A330-243            ,2,377
N423SW,2000,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N779JB,2009,AIRBUS                        ,A320-232            ,2,200
N757LV,1999,BOEING                        ,737-7H4             ,2,140
N75861,2001,BOEING                        ,757-33N             ,2,275
N608JB,2005,AIRBUS                        ,A320-232            ,2,200
N991DL,1991,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N3755D,2001,BOEING                        ,737-832             ,2,189
N205FR,2010,AIRBUS                        ,A320-214            ,2,182
N478WN,2004,BOEING                        ,737-7H4             ,2,140
N805AW,1999,AIRBUS INDUSTRIE              ,A319-132            ,2,179
N369NB,2003,AIRBUS                        ,A319-114            ,2,145
N632JB,2006,AIRBUS                        ,A320-232            ,2,200
N6707A,2000,BOEING                        ,757-232             ,2,178
N738US,2000,AIRBUS INDUSTRIE              ,A319-112            ,2,179
N604NK,    ,AIRBUS                        ,A320-232            ,2,200
N147PQ,2007,BOMBARDIER INC                ,CL-600-2D24         ,2,95
N564JB,2003,AIRBUS                        ,A320-232            ,2,200
N75858,2004,BOEING                        ,757-324             ,2,275
N583JB,2004,AIRBUS                        ,A320-232            ,2,200
N464WN,2004,BOEING                        ,737-7H4             ,2,140
N317AS,2003,BOEING                        ,737-990             ,2,149
N3741S,2001,BOEING                        ,737-832             ,2,189
N923SW,2002,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N75429,2008,BOEING                        ,737-924ER           ,2,191
N3745B,2001,BOEING                        ,737-832             ,2,189
N652DL,1989,BOEING                        ,757-232             ,2,178
N374HA,2014,AIRBUS                        ,A330-243            ,2,377
N68836,2014,BOEING                        ,737-924ER           ,2,191
N1613B,2001,BOEING                        ,767-332             ,2,330
N390DA,2000,BOEING                        ,737-832             ,2,189
N214UA,2000,BOEING                        ,777-222             ,2,400
N77430,2009,BOEING                        ,737-924ER           ,2,191
N849VA,2012,AIRBUS                        ,A320-214            ,2,182
N656AW,1999,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N346NB,2002,AIRBUS                        ,A319-114            ,2,145
N57862,2001,BOEING                        ,757-33N             ,2,275
N337NB,2002,AIRBUS INDUSTRIE              ,A319-114            ,2,145
N873AS,2001,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N569JB,2003,AIRBUS                        ,A320-232            ,2,200
N37263,2001,BOEING                        ,737-824             ,2,149
N73259,2001,BOEING                        ,737-824             ,2,149
N633SW,1996,BOEING                        ,737-3H4             ,2,149
N613JB,2005,AIRBUS                        ,A320-232            ,2,200
N3772H,2010,BOEING                        ,737-832             ,2,189
N366NB,2003,AIRBUS                        ,A319-114            ,2,145
N12135,2003,EMBRAER                       ,EMB-145XR           ,2,55
N831MQ,    ,3D ROBOTICS                   ,SOLO                ,4,0
N585SW,1999,EMBRAER                       ,EMB-120ER           ,2,32
N76516,2008,BOEING                        ,737-824             ,2,149
N38473,2013,BOEING                        ,737-924ER           ,2,191
N729SW,1999,BOEING                        ,737-7H4             ,2,140
N38268,2001,BOEING                        ,737-824             ,2,149
N623SW,1996,BOEING                        ,737-3H4             ,2,149
N604SK,2006,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N365NB,2003,AIRBUS                        ,A319-114            ,2,145
N433SW,2001,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N474AA,    ,CESSNA                        ,172M                ,1,4
N717TW,1999,BOEING                        ,757-231             ,2,178
N853UA,2002,AIRBUS                        ,A319-131            ,2,179
N17139,2000,BOEING                        ,757-224             ,2,178
N316NB,2000,AIRBUS INDUSTRIE              ,A319-114            ,2,145
N3737C,2000,BOEING                        ,737-832             ,2,189
N10575,2002,EMBRAER                       ,EMB-145LR           ,2,55
N604QX,2001,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N605QX,2002,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N523NK,2006,AIRBUS                        ,A319-132            ,2,179
N603NK,2010,AIRBUS                        ,A320-232            ,2,200
N903JB,2013,AIRBUS                        ,A321-231            ,2,379
N374AA,1992,BOEING                        ,767-323             ,2,330
N323US,1991,AIRBUS INDUSTRIE              ,A320-211            ,2,182
N345NB,    ,AIRBUS                        ,A319-114            ,2,145
N864AS,2001,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N907JB,2013,AIRBUS INDUSTRIE              ,A321-231            ,2,379
N28912,2014,BOEING                        ,787-8               ,2,260
N3746H,2001,BOEING                        ,737-832             ,2,189
N398CA,2003,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N953DN,    ,MCDONNELL DOUGLAS             ,MD-90-30            ,2,142
N464SW,2003,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N636WN,1996,BOEING                        ,737-3H4             ,2,149
N584JB,2004,AIRBUS                        ,A320-232            ,2,200
N708DN,2009,BOEING                        ,777-232LR           ,2,442
N945DN,1998,BOEING                        ,MD-90-30            ,2,142
N18120,2003,EMBRAER                       ,EMB-145XR           ,2,55
N936UW,1994,BOEING                        ,757-2B7             ,2,178
N533NK,2008,AIRBUS                        ,A319-132            ,2,179
N192JB,2005,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N17133,1998,BOEING                        ,757-224             ,2,178
N289AY,2013,AIRBUS                        ,A330-243            ,2,377
N370SW,1993,BOEING                        ,737-3H4             ,2,149
N724SW,1999,BOEING                        ,737-7H4             ,2,140
N846UA,2001,AIRBUS INDUSTRIE              ,A319-131            ,2,179
N235SW,0000,EMBRAER                       ,EMB-120ER           ,2,32
N73283,2004,BOEING                        ,737-824             ,2,149
N143DA,1998,BOEING                        ,767-332             ,2,330
N906AT,2001,BOEING                        ,717-200             ,2,100
N19141,2000,BOEING                        ,757-224             ,2,178
N1501P,1990,BOEING                        ,767-3P6             ,2,290
N625VA,2006,AIRBUS                        ,A320-214            ,2,182
N396DA,2000,BOEING                        ,737-832             ,2,189
N338NB,2002,AIRBUS                        ,A319-114            ,2,145
N493AA,1989,MCDONNELL DOUGLAS             ,DC-9-82(MD-82)      ,2,172
N171DZ,1998,BOEING                        ,767-332             ,2,330
N673DL,1992,BOEING                        ,757-232             ,2,178
N867AS,2000,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N3769L,2002,BOEING                        ,737-832             ,2,189
N331NW,1992,AIRBUS INDUSTRIE              ,A320-211            ,2,182
N7716A,2005,BOEING                        ,737-76N             ,2,149
N605JB,2005,AIRBUS                        ,A320-232            ,2,200
N25705,1998,BOEING                        ,737-724             ,2,149
N330NW,1992,AIRBUS INDUSTRIE              ,A320-211            ,2,182
N27901,2012,BOEING                        ,787-8               ,2,260
N14219,1998,BOEING                        ,737-824             ,2,149
N76055,2001,BOEING                        ,767-424ER           ,2,292
N538AS,2012,BOEING                        ,737-890             ,2,149
N3731T,2000,BOEING                        ,737-832             ,2,189
N907DA,1995,MCDONNELL DOUGLAS             ,MD-90-30            ,2,142
N664UA,1998,BOEING                        ,767-322             ,2,330
N69833,2014,BOEING                        ,737-924ER           ,2,191
N719EV,2003,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N75410,2001,BOEING                        ,737-924             ,2,191
N718EV,2003,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N286AY,    ,AIRBUS                        ,A330-243            ,2,377
N284AY,2010,AIRBUS                        ,A330-243            ,2,377
N3735D,2000,BOEING                        ,737-832             ,2,189
N721TW,1999,BOEING                        ,757-231             ,2,178
N969DL,1990,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N677UA,2001,BOEING                        ,767-322             ,2,330
N617QX,2003,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N773SK,2005,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N11194,2005,EMBRAER                       ,EMB-145XR           ,2,55
N265WN,2007,BOEING                        ,737-7H4             ,2,140
N75433,2009,BOEING                        ,737-924ER           ,2,191
N765AS,1992,BOEING                        ,737-4Q8             ,2,149
N3740C,2000,BOEING                        ,737-832             ,2,189
N803UA,1997,AIRBUS INDUSTRIE              ,A319-131            ,2,179
N13979,1999,EMBRAER                       ,EMB-145LR           ,2,55
N707SK,1999,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N854AS,2000,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N724SK,2004,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N57016,2000,BOEING                        ,777-224             ,2,400
N382DA,1999,BOEING                        ,737-832             ,2,189
N590UA,1997,BOEING                        ,757-222             ,2,178
N12564,2002,EMBRAER                       ,EMB-145LR           ,2,55
N837MH,2000,BOEING                        ,767-432ER           ,2,300
N116SY,2014,EMBRAER                       ,ERJ 170-200 LR      ,2,88
N539US,1996,BOEING                        ,757-251             ,2,178
N460SW,2003,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N270YV,1993,EMBRAER                       ,EMB-120ER           ,2,32
N76054,2000,BOEING                        ,767-424ER           ,2,292
N947UW,2007,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N250AY,1988,BOEING                        ,767-201             ,2,255
N54711,1998,BOEING                        ,737-724             ,2,149
N784UA,1997,BOEING                        ,777-222             ,2,400
N654UA,1992,BOEING                        ,767-322             ,2,330
N672DL,1992,BOEING                        ,757-232             ,2,178
N543US,1996,BOEING                        ,757-251             ,2,178
N710SK,2004,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N412UA,1994,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N333NB,2001,AIRBUS INDUSTRIE              ,A319-114            ,2,145
N26906,2012,BOEING                        ,787-8               ,2,260
N232PQ,2009,BOMBARDIER INC                ,CL-600-2D24         ,2,95
N920EV,2003,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N373NW,2001,AIRBUS INDUSTRIE              ,A320-212            ,2,182
N14121,1997,BOEING                        ,757-224             ,2,178
N6713Y,2000,BOEING                        ,757-232             ,2,178
N53442,2009,BOEING                        ,737-924ER           ,2,191
N927DN,1999,BOEING                        ,MD-90-30            ,2,142
N39463,2012,BOEING                        ,737-924ER           ,2,191
N33182,2005,EMBRAER                       ,EMB-145XR           ,2,55
N694DL,1998,BOEING                        ,757-232             ,2,178
N22909,2001,EMBRAER                       ,EMB-145LR           ,2,55
N68802,2013,BOEING                        ,737-924ER           ,2,191
N641UA,1991,BOEING                        ,767-322             ,2,330
N596UA,1998,BOEING                        ,757-222             ,2,178
N668UA,1999,BOEING                        ,767-322             ,2,330
N386HA,2012,AIRBUS                        ,A330-243            ,2,377
N699BR,2003,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N867DA,2002,BOEING                        ,777-232             ,2,400
N580HA,2001,BOEING                        ,767-33A             ,2,330
N26910,2014,BOEING                        ,787-8               ,2,260
N34111,2002,EMBRAER                       ,EMB-145XR           ,2,55
N12126,2003,EMBRAER                       ,EMB-145XR           ,2,55
N614SK,2002,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N201UU,1995,BOEING                        ,757-2B7             ,2,178
N828MH,2000,BOEING                        ,767-432ER           ,2,300
N17122,1997,BOEING                        ,757-224             ,2,178
N679CA,2007,BOMBARDIER INC                ,CL-600-2D24         ,2,95
N743SK,2005,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N348NB,2002,AIRBUS                        ,A319-114            ,2,145
N340NB,2002,AIRBUS                        ,A319-114            ,2,145
N189DN,1997,BOEING                        ,767-332             ,2,330
N283AY,2009,AIRBUS                        ,A330-243            ,2,377
N929DN,1996,MCDONNELL DOUGLAS             ,MD-90-30            ,2,142
N278AY,2001,AIRBUS INDUSTRIE              ,A330-323            ,2,379
N125UW,2009,AIRBUS                        ,A320-214            ,2,182
N320NB,2000,AIRBUS INDUSTRIE              ,A319-114            ,2,145
N290AY,2013,AIRBUS                        ,A330-243            ,2,377
N727TW,1999,BOEING                        ,757-231             ,2,178
N16709,1998,BOEING                        ,737-724             ,2,149
N285WN,2007,BOEING                        ,737-7H4             ,2,140
N565JB,2003,AIRBUS                        ,A320-232            ,2,200
N169DZ,1998,BOEING                        ,767-332             ,2,330
N644SW,1997,BOEING                        ,737-3H4             ,2,149
N217UA,2000,BOEING                        ,777-222             ,2,400
N19136,1999,BOEING                        ,757-224             ,2,178
N256AY,1993,BOEING                        ,767-2B7             ,2,252
N705UW,    ,AIRBUS INDUSTRIE              ,A319-112            ,2,179
N66808,2013,BOEING                        ,737-924ER           ,2,191
N204UW,2000,BOEING                        ,757-23N             ,2,178
N850UA,2002,AIRBUS INDUSTRIE              ,A319-131            ,2,179
N643JB,2006,AIRBUS                        ,A320-232            ,2,200
N861DA,1999,BOEING                        ,777-232             ,2,400
N3760C,2001,BOEING                        ,737-832             ,2,189
N76514,    ,BOEING                        ,737-824             ,2,149
N552UW,2011,AIRBUS                        ,A321-231            ,2,379
N6708D,2000,BOEING                        ,757-232             ,2,178
N399AA,2016,CIRRUS DESIGN CORP            ,SR22                ,1,4
N592JB,2004,AIRBUS                        ,A320-232            ,2,200
N392DA,2000,BOEING                        ,737-832             ,2,189
N6716C,2001,BOEING                        ,757-232             ,2,178
N634JB,2006,AIRBUS                        ,A320-232            ,2,200
N221SW,1994,EMBRAER                       ,EMB-120ER           ,2,32
N37277,2002,BOEING                        ,737-824             ,2,149
N347NW,1993,AIRBUS INDUSTRIE              ,A320-212            ,2,182
N152DL,1990,BOEING                        ,767-3P6             ,2,290
N349NB,2002,AIRBUS                        ,A319-114            ,2,145
N1610D,2000,BOEING                        ,767-332             ,2,330
N213UA,2000,BOEING                        ,777-222             ,2,400
N12175,2004,EMBRAER                       ,EMB-145XR           ,2,55
N18112,1995,BOEING                        ,757-224             ,2,178
N3742C,2001,BOEING                        ,737-832             ,2,189
N77261,2001,BOEING                        ,737-824             ,2,149
N77865,2002,BOEING                        ,757-33N             ,2,275
N948DN,1996,MCDONNELL DOUGLAS             ,MD-90-30            ,2,142
N513AA,1990,MCDONNELL DOUGLAS             ,DC-9-82(MD-82)      ,2,172
N138DL,1991,BOEING                        ,767-332             ,2,330
N797AA,2003,GROSS ROBERT                  ,F1                  ,1,2
N7723E,2006,BOEING                        ,737-76N             ,2,149
N709DN,2010,BOEING                        ,777-232LR           ,2,442
N68811,2014,BOEING                        ,737-924ER           ,2,191
N833MH,2000,BOEING                        ,767-432ER           ,2,300
N657JB,2007,AIRBUS                        ,A320-232            ,2,200
N476AA,1988,MCDONNELL DOUGLAS             ,DC-9-82(MD-82)      ,2,172
N37287,2004,BOEING                        ,737-824             ,2,149
N827MH,2001,BOEING                        ,767-432ER           ,2,300
N12221,1998,BOEING                        ,737-824             ,2,149
N362AA,1988,BOEING                        ,767-323             ,2,330
N373AA,1992,BOEING                        ,767-323             ,2,330
N274AY,2000,AIRBUS INDUSTRIE              ,A330-323            ,2,379
N547JB,2002,AIRBUS                        ,A320-232            ,2,200
N6710E,2000,BOEING                        ,757-232             ,2,178
N249AU,1987,BOEING                        ,767-201             ,2,255
N674UA,2000,BOEING                        ,767-322             ,2,330
N791SW,2000,BOEING                        ,737-7H4             ,2,140
N8884E,2003,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N77019,2007,BOEING                        ,777-224             ,2,400
N351AA,1988,BOEING                        ,767-323             ,2,330
N917EV,2003,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N128SY,2014,EMBRAER S A                   ,ERJ 170-200 LR      ,2,88
N442SW,2002,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N181DN,1992,BOEING                        ,767-332             ,2,330
N193DN,1997,BOEING                        ,767-332             ,2,330
N662UA,1993,BOEING                        ,767-322             ,2,330
N3763D,2001,BOEING                        ,737-832             ,2,189
N1611B,2000,BOEING                        ,767-332             ,2,330
N87513,2008,BOEING                        ,737-824             ,2,149
N19130,1998,BOEING                        ,757-224             ,2,178
N38443,2010,BOEING                        ,737-924ER           ,2,191
N388HA,2012,AIRBUS                        ,A330-243            ,2,377
N14959,1998,EMBRAER                       ,EMB-145LR           ,2,55
N643UA,1991,BOEING                        ,767-322             ,2,330
N183DN,1993,BOEING                        ,767-332             ,2,330
N820AS,1997,CANADAIR                      ,CL-600-2B19         ,2,55
N671UA,1999,BOEING                        ,767-322             ,2,330
N864DA,1999,BOEING                        ,777-232             ,2,400
N26909,2014,BOEING                        ,787-8               ,2,260
N12125,1998,BOEING                        ,757-224             ,2,178
N418SW,2000,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N945JB,2001,BENHAM JOHN                   ,DOMINATOR           ,1,1
N898SK,2007,BOMBARDIER INC                ,CL-600-2D24         ,2,95
N76010,1999,BOEING                        ,777-224             ,2,400
N795UA,1997,BOEING                        ,777-222             ,2,400
N580SW,1999,EMBRAER                       ,EMB-120ER           ,2,32
N974EV,2001,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N357NB,2002,AIRBUS                        ,A319-114            ,2,145
N305DQ,2008,BOEING                        ,737-732             ,2,149
N907EV,    ,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N394DA,2000,BOEING                        ,737-832             ,2,189
N33266,2001,BOEING                        ,737-824             ,2,149
N711UW,1999,AIRBUS INDUSTRIE              ,A319-112            ,2,179
N394DL,1995,BOEING                        ,767-324             ,2,269
N841MH,2001,BOEING                        ,767-432ER           ,2,300
N822UA,1998,AIRBUS INDUSTRIE              ,A319-131            ,2,179
N67058,2002,BOEING                        ,767-424ER           ,2,292
N379AA,1993,BOEING                        ,767-323             ,2,330
N665UA,1998,BOEING                        ,767-322             ,2,330
N78009,1999,BOEING                        ,777-224             ,2,400
N800SK,2006,BOMBARDIER INC                ,CL-600-2D24         ,2,95
N198DN,1998,BOEING                        ,767-332             ,2,330
N660UA,1993,BOEING                        ,767-322             ,2,330
N659UA,1993,BOEING                        ,767-322             ,2,330
N380HA,2010,AIRBUS                        ,A330-243            ,2,377
N862DA,1999,BOEING                        ,777-232             ,2,400
N17104,1994,BOEING                        ,757-224             ,2,178
N277AY,2001,AIRBUS INDUSTRIE              ,A330-323            ,2,379
N360AA,1988,BOEING                        ,767-323             ,2,330
N228UA,2002,BOEING                        ,777-222             ,2,400
N33132,1998,BOEING                        ,757-224             ,2,178
N363AA,1988,BOEING                        ,767-323             ,2,330
N352AA,1988,BOEING                        ,767-323             ,2,330
N928EV,2004,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N955AT,2000,BOEING                        ,717-200             ,2,100
N416UA,1994,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N486UA,2001,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N763AS,1992,BOEING                        ,737-4Q8             ,2,149
N780SK,2009,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N772SK,2005,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N23707,1998,BOEING                        ,737-724             ,2,149
N836UA,2001,AIRBUS INDUSTRIE              ,A319-131            ,2,179
N12900,2001,EMBRAER                       ,EMB-145LR           ,2,55
N417SW,    ,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N234SW,1996,EMBRAER                       ,EMB-120ER           ,2,32
N195DN,1997,BOEING                        ,767-332             ,2,330
N76062,2002,BOEING                        ,767-424ER           ,2,292
N675UA,2000,BOEING                        ,767-322             ,2,330
N69020,2007,BOEING                        ,777-224             ,2,400
N815NW,2007,AIRBUS                        ,A330-323            ,2,379
N934DL,1989,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N655UA,1992,BOEING                        ,767-322             ,2,330
N920DE,1993,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N34137,1999,BOEING                        ,757-224             ,2,178
N21108,1994,BOEING                        ,757-224             ,2,178
N661UA,1993,BOEING                        ,767-322             ,2,330
N430WN,2002,BOEING                        ,737-7H4             ,2,140
N26902,2012,BOEING                        ,787-8               ,2,260
N197DN,1997,BOEING                        ,767-332             ,2,330
N78004,1998,BOEING                        ,777-224             ,2,400
N354NW,1998,AIRBUS INDUSTRIE              ,A320-212            ,2,182
N780UA,1996,BOEING                        ,777-222             ,2,400
N12225,1998,BOEING                        ,737-824             ,2,149
N506AS,2008,BOEING                        ,737-890             ,2,149
N1200K,1998,BOEING                        ,767-332             ,2,330
N951DL,1990,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N124US,2000,AIRBUS INDUSTRIE              ,A320-214            ,2,182
N76265,2001,BOEING                        ,737-824             ,2,149
N66057,2002,BOEING                        ,767-424ER           ,2,292
N273AY,2000,AIRBUS INDUSTRIE              ,A330-323            ,2,379
N78002,1998,BOEING                        ,777-224             ,2,400
N369AA,1992,BOEING                        ,767-323             ,2,330
N473UA,2001,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N276AY,2001,AIRBUS INDUSTRIE              ,A330-323            ,2,379
N78005,1998,BOEING                        ,777-224             ,2,400
N797UA,1998,BOEING                        ,777-222             ,2,400
N416SW,1995,CANADAIR                      ,CL-600-2B19         ,2,55
N35204,2000,BOEING                        ,737-824             ,2,149
N371CA,2003,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N744SW,1999,BOEING                        ,737-7H4             ,2,140
N478AA,1988,MCDONNELL DOUGLAS             ,DC-9-82(MD-82)      ,2,172
N839MH,2001,BOEING                        ,767-432ER           ,2,300
N766US,2000,AIRBUS INDUSTRIE              ,A319-112            ,2,179
N29129,1998,BOEING                        ,757-224             ,2,178
N280AY,2009,AIRBUS                        ,A330-243            ,2,377
N835MH,2000,BOEING                        ,767-432ER           ,2,300
N29907,2013,BOEING                        ,787-8               ,2,260
N66051,2000,BOEING                        ,767-424ER           ,2,292
N808NW,2004,AIRBUS                        ,A330-323            ,2,379
N8965E,2004,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N156DL,1991,BOEING                        ,767-3P6             ,2,290
N647UA,1992,BOEING                        ,767-322             ,2,330
N649UA,1992,BOEING                        ,767-322             ,2,330
N185DN,1995,BOEING                        ,767-332             ,2,330
N663UA,1993,BOEING                        ,767-322             ,2,330
N460UA,2000,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N223UA,2001,BOEING                        ,777-222             ,2,400
N713SW,1998,BOEING                        ,737-7H4             ,2,140
N78506,2006,BOEING                        ,737-824             ,2,149
N111US,1999,AIRBUS INDUSTRIE              ,A320-214            ,2,182
N891AT,2004,BOEING                        ,717-200             ,2,100
N59053,2000,BOEING                        ,767-424ER           ,2,292
N912SW,2001,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N831DN,2014,BOEING                        ,737-932ER           ,2,222
N77022,2010,BOEING                        ,777-224             ,2,400
N842AS,1999,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N805NW,2003,AIRBUS                        ,A330-323            ,2,379
N24211,1998,BOEING                        ,737-824             ,2,149
N652UA,1992,BOEING                        ,767-322             ,2,330
N658UA,1993,BOEING                        ,767-322             ,2,330
N328NW,1992,AIRBUS INDUSTRIE              ,A320-211            ,2,182
N57111,1994,BOEING                        ,757-224             ,2,178
N776UA,1996,BOEING                        ,777-222             ,2,400
N317WN,1988,BOEING                        ,737-3Q8             ,2,149
N69839,2014,BOEING                        ,737-924ER           ,2,191
N838MH,2001,BOEING                        ,767-432ER           ,2,300
N30913,2014,BOEING                        ,787-8               ,2,260
N672UA,1999,BOEING                        ,767-322             ,2,330
N423UA,1995,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N78003,1998,BOEING                        ,777-224             ,2,400
N803NW,2003,AIRBUS                        ,A330-323            ,2,379
N153DL,1990,BOEING                        ,767-3P6             ,2,290
N782UA,1997,BOEING                        ,777-222             ,2,400
N270AY,2000,AIRBUS INDUSTRIE              ,A330-323            ,2,379
N8656B,2014,BOEING                        ,737-8H4             ,2,140
N666UA,1998,BOEING                        ,767-322             ,2,330
N368SW,1993,BOEING                        ,737-3H4             ,2,149
N801NW,2003,AIRBUS                        ,A330-323            ,2,379
N193UW,2008,AIRBUS                        ,A321-211            ,2,199
N594HA,1986,BOEING                        ,767-332             ,2,330
N775UA,1995,BOEING                        ,777-222             ,2,400
N377AA,    ,PAIR MIKE E                   ,FALCON XP           ,1,2
N11544,2002,EMBRAER                       ,EMB-145LR           ,2,55
N69059,2002,BOEING                        ,767-424ER           ,2,292
N802NW,2003,AIRBUS                        ,A330-323            ,2,379
N73256,2000,BOEING                        ,737-824             ,2,149
N449UA,1998,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N79011,1999,BOEING                        ,777-224             ,2,400
N788UA,1997,BOEING                        ,777-222             ,2,400
N33289,2004,BOEING                        ,737-824             ,2,149
N33292,    ,BOEING                        ,737-824             ,2,149
N344AA,1992,GULFSTREAM AEROSPACE          ,G-IV                ,2,22
N184DN,1993,BOEING                        ,767-332             ,2,330
N116UA,1998,BOEING                        ,747-422             ,4,495
N553WN,2002,BOEING                        ,737-7BX             ,2,149
N592NW,2003,BOEING                        ,757-351             ,2,275
N783UA,1997,BOEING                        ,777-222             ,2,400
N716EV,2003,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N730SW,1999,BOEING                        ,737-7H4             ,2,140
N478HA,2001,BOEING                        ,717-200             ,2,100
N496WN,2004,BOEING                        ,737-7H4             ,2,140
N537UW,2009,AIRBUS                        ,A321-231            ,2,379
N957SW,2003,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N279AY,2009,AIRBUS                        ,A330-243            ,2,377
N949UW,2007,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N77012,1999,BOEING                        ,777-224             ,2,400
N778UA,1996,BOEING                        ,777-222             ,2,400
N1607B,2000,BOEING                        ,767-332             ,2,330
N77530,2011,BOEING                        ,737-824             ,2,149
N564AS,2006,BOEING                        ,737-890             ,2,149
N647SW,1997,BOEING                        ,737-3H4             ,2,149
N1201P,1998,BOEING                        ,767-332             ,2,330
N676UA,2001,BOEING                        ,767-322             ,2,330
N644UA,1991,BOEING                        ,767-322             ,2,330
N76021,2010,BOEING                        ,777-224             ,2,400
N549AS,2005,BOEING                        ,737-8FH             ,2,149
N174DN,1990,BOEING                        ,767-332             ,2,330
N910AW,1989,BOEING                        ,757-2G7             ,2,178
N938AT,2006,BOEING                        ,717-200             ,2,100
N642UA,1991,BOEING                        ,767-322             ,2,330
N781UA,1996,BOEING                        ,777-222             ,2,400
N388AA,1995,BOEING                        ,767-323             ,2,330
N76065,2002,BOEING                        ,767-424ER           ,2,292
N225UA,2001,BOEING                        ,777-222             ,2,400
N384AA,1993,BOEING                        ,767-323             ,2,330
N816NW,2007,AIRBUS                        ,A330-323            ,2,379
N18114,2002,EMBRAER                       ,EMB-145XR           ,2,55
N275AY,2000,AIRBUS INDUSTRIE              ,A330-323            ,2,379
N27015,2000,BOEING                        ,777-224             ,2,400
N354AA,1988,BOEING                        ,767-323             ,2,330
N14118,1997,BOEING                        ,757-224             ,2,178
N510UW,2009,AIRBUS                        ,A321-231            ,2,379
N77014,1999,BOEING                        ,777-224             ,2,400
N7719A,2005,BOEING                        ,737-76N             ,2,149
N821NW,2007,AIRBUS                        ,A330-323            ,2,379
N726SW,1999,BOEING                        ,737-7H4             ,2,140
N177DZ,1999,BOEING                        ,767-332             ,2,330
N785UA,1997,BOEING                        ,777-222             ,2,400
